,building_id,damage_grade
0,300051,1
1,99355,2
2,890251,2
3,745817,3
4,421793,1
5,871976,2
6,691228,2
7,896100,1
8,343471,1
9,766647,2
10,800548,2
11,652685,2
12,590834,2
13,612530,1
14,535718,2
15,269418,2
16,281421,2
17,797571,2
18,216579,1
19,81554,2
20,132785,2
21,976125,2
22,851237,2
23,322922,2
24,786774,2
25,922680,1
26,134349,1
27,551456,2
28,194812,2
29,520031,2
30,765502,1
31,517764,2
32,174470,2
33,395012,1
34,159776,2
35,62638,2
36,65760,2
37,761527,2
38,37201,2
39,853163,2
40,562505,2
41,349010,1
42,780817,2
43,179897,2
44,845103,2
45,171560,2
46,586661,2
47,84102,2
48,610806,1
49,269531,2
50,3781,2
51,127674,2
52,820462,2
53,955190,2
54,405557,2
55,143219,1
56,360041,2
57,378036,1
58,613583,2
59,992040,2
60,849585,2
61,491236,1
62,847580,2
63,229211,1
64,173624,2
65,642562,2
66,86467,2
67,684629,2
68,304627,2
69,255913,2
70,861624,2
71,367328,3
72,13216,2
73,838446,2
74,981040,2
75,335849,2
76,823769,1
77,666855,1
78,398783,2
79,829946,2
80,326177,1
81,359387,1
82,924578,3
83,712624,2
84,946541,2
85,373943,2
86,865274,3
87,522404,2
88,841632,2
89,649142,2
90,332157,2
91,722082,3
92,279597,2
93,107512,2
94,26477,2
95,138895,2
96,553866,1
97,157718,2
98,582842,2
99,123399,2
100,189875,1
101,70843,2
102,225218,3
103,703273,2
104,245176,2
105,760257,2
106,641933,2
107,76772,2
108,302226,2
109,535232,2
110,311900,2
111,859468,1
112,496582,2
113,970295,2
114,38184,2
115,533972,2
116,787930,2
117,706637,2
118,684359,2
119,744804,2
120,675284,2
121,900064,2
122,13833,2
123,483231,2
124,993785,2
125,91756,2
126,116435,1
127,27649,2
128,806119,2
129,527762,2
130,119879,2
131,521901,2
132,960588,2
133,150992,3
134,136949,2
135,681857,1
136,676342,2
137,85413,2
138,242230,2
139,46916,1
140,343837,2
141,693348,2
142,826208,2
143,639042,2
144,180348,2
145,997642,2
146,1014983,1
147,995476,2
148,599482,2
149,405738,2
150,209844,2
151,51119,2
152,1009242,2
153,260072,2
154,504317,2
155,678345,2
156,96671,2
157,738466,2
158,475174,2
159,767788,2
160,73477,3
161,140388,1
162,514634,2
163,59716,2
164,1038485,2
165,531485,2
166,666051,1
167,799813,2
168,420703,2
169,589536,2
170,661373,2
171,183074,1
172,875195,2
173,734876,2
174,988161,1
175,596967,1
176,370776,1
177,422000,2
178,829879,2
179,622400,2
180,789622,1
181,780895,2
182,14602,2
183,988846,2
184,1052375,2
185,101200,2
186,1005009,1
187,892887,2
188,582579,2
189,643663,2
190,420773,2
191,593771,2
192,678254,2
193,842277,2
194,797666,2
195,247831,2
196,987658,2
